id,name,hurricane_category,year,month_day,date,hours_minutes,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,maximum_pressure,34_kt_ne,34_kt_se,34_kt_sw,34_kt_nw,50_kt_ne,50_kt_se,50_kt_sw,50_kt_nw,64_kt_ne,64_kt_se,64_kt_sw,64_kt_nw
AL031999,BRET,cat_1,1999,0821,19990821,0000,,HU,21.9N,94.5W,65.0,983.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,cat_1,1999,0821,19990821,0600,,HU,22.5N,94.7W,75.0,980.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,cat_1,1999,0821,19990821,1200,,HU,23.1N,94.9W,80.0,979.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,cat_2,1999,0821,19990821,1800,,HU,23.8N,95.0W,90.0,975.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,cat_4,1999,0822,19990822,0000,,HU,24.7N,95.1W,120.0,954.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,cat_4,1999,0822,19990822,0600,,HU,25.5N,95.5W,125.0,950.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,cat_4,1999,0822,19990822,1200,,HU,26.2N,96.1W,125.0,944.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,cat_4,1999,0822,19990822,1800,,HU,26.6N,96.8W,120.0,946.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,cat_3,1999,0823,19990823,0000,L,HU,26.9N,97.4W,100.0,951.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
AL031999,BRET,cat_1,1999,0823,19990823,0600,,HU,27.0N,97.9W,80.0,963.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
